Registration,FleetNo,Type
MJ74JPO,WDS332,StreetDeck
MJ74JPU,WDS333,StreetDeck
MJ74JPV,WDS334,StreetDeck
MJ74JPX,WDS335,StreetDeck
MJ74JPY,WDS336,StreetDeck
MJ74JRO,WDS337,StreetDeck
MJ74JRU,WDS338,StreetDeck
MJ74JRV,WDS339,StreetDeck
MJ74JRX,WDS340,StreetDeck
LV74CGG,WDS341,StreetDeck
LV74CGK,WDS342,StreetDeck
LV74CGO,WDS343,StreetDeck
LV74CGU,WDS344,StreetDeck
LV74CGX,WDS345,StreetDeck
LV74CGY,WDS346,StreetDeck
LV74CGZ,WDS347,StreetDeck
LV74KNA,WDS348,StreetDeck
LV74KNB,WDS349,StreetDeck
LV74KNC,WDS350,StreetDeck
LV74KND,WDS351,StreetDeck
LV74KNE,WDS352,StreetDeck
LV74KNF,WDS353,StreetDeck
LV74KNG,WDS354,StreetDeck
LV74KNH,WDS355,StreetDeck
LV74KNJ,WDS356,StreetDeck
LV74KNK,WDS357,StreetDeck
LV74THU,WDS358,StreetDeck
LV74THX,WDS359,StreetDeck
LV74THZ,WDS360,StreetDeck
